Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Gene,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Ecotype.AP,Sequencing,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AF,Same.reference,Multiple.species,Notes,Birds
0317,"Rodriguez-Pastor et al., 2018","Palencia province, Castilla-y-León autonomous region (42°01′N, 4°42′W)",Spain,No,Farmland,"March 2013 - March 2015 (in March, July and November)",Common vole,Microtus arvalis,Mammal,Scientific capturing,Spleen and liver,Multiplex PCR & RLB,16S,A. phagocytophilum,240,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0318,"Rosso et al., 2017",Province of Trento,Italy,No,NA,April to October 2012,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Ear,nested PCR,16S rRNA,A. phagocytophilum,685,3,0.00,No,Yes,Yes,"95% CI: 0,07-0,87%",T,Rosso et al. (2017),No,,No birds
0319,"Rosso et al., 2017",Province of Trento,Italy,No,NA,April to October 2012,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Ear,nested PCR,16S rRNA,A. phagocytophilum,28,0,0.00,NA,NA,No,NA,T,Rosso et al. (2017),No,,No birds
0320,"Rosso et al., 2017",Province of Trento,Italy,No,NA,April to October 2012,Alpine pine vole,Microtus multiplex,Mammal,Scientific capturing,Ear,nested PCR,16S rRNA,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,T,Rosso et al. (2017),No,,No birds
0321,"Rosso et al., 2017",Province of Trento,Italy,No,NA,April to October 2012,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Ear,nested PCR,16S rRNA,A. phagocytophilum,245,49,0.20,No,Yes,Yes,95% CI: 9-31%,T,Rosso et al. (2017),No,,No birds
0322,"Ruyts et al., 2017",Flanders,Belgium,No,NA,March - November 2010 - 2014,Eurasian red squirrel,Sciurus vulgaris,Mammal,Road kill,Liver and spleen,real-time qPCR,msp2,A. phagocytophilum,45,4,0.09,1 and 2,Yes,No,NA,No,NA,No,All positives were spleens,No birds
0323,"Sandor et al., 2017a","Sebes, (45.948229N; 23.562736E)",Romania,No,Urban,"June 13, 2013",Rook,Corvus frugilegus,Bird,Scientific capturing,Heart,PCR,msp2,A. phagocytophilum,57,1,0.02,No,Yes,No,NA,T+AF,"Sandor et al., (2017a)",No,,Resident birds
0324,"Sandor et al., 2017a","Sebes, (45.948229N; 23.562736E)",Romania,No,Urban,"June 13, 2013",Western jackdaw,Corvus monedula,Bird,Scientific capturing,Heart,PCR,msp2,A. phagocytophilum,51,0,0.00,NA,NA,No,NA,T+AF,"Sandor et al., (2017a)",No,,Resident birds
0325,"Silaghi et al., 2011a","South of the city of Augsburg, Bavaria (48°06'36.42""N, 10°34'33.40""E)",Germany,No,Forest,September - November 2010,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,real-time PCR,"msp2, 16S rRNA, groEL and msp4",A. phagocytophilum,19,19,1.00,No,No,No,NA,No,NA,No,,No birds
0326,"Silaghi et al., 2011b",Northern and central eastern Alps of Tyrol,Austria,No,NA,August 2008 - October 2010,Alpine ibex,Capra ibex,Mammal,Hunting,Spleen & liver,rt-PCR,msp2,A. phagocytophilum,18,3,0.17,No ,No,No,NA,No,NA,No,,No birds
0327,"Silaghi et al., 2011b",Northern and central eastern Alps of Tyrol,Austria,No,NA,August 2008 - October 2010,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen & liver,rt-PCR,msp2,A. phagocytophilum,19,10,0.53,No ,No,No,NA,No,NA,No,,No birds
0328,"Silaghi et al., 2011b",Northern and central eastern Alps of Tyrol,Austria,No,NA,August 2008 - October 2010,Red deer,Cervus elaphus,Mammal,Hunting,Spleen & liver,rt-PCR,msp2,A. phagocytophilum,12,8,0.67,No ,No,No,NA,No,NA,No,,No birds
0329,"Silaghi et al., 2011b",Northern and central eastern Alps of Tyrol,Austria,No,NA,August 2008 - October 2010,European mouflon,Ovis orientalis musimon,Mammal,Hunting,Spleen & liver,rt-PCR,msp2,A. phagocytophilum,6,3,0.50,No ,No,No,NA,No,NA,No,,No birds
0330,"Silaghi et al., 2011b",Northern and central eastern Alps of Tyrol,Austria,No,NA,August 2008 - October 2010,Alpine chamois,Rupicapra rupicapra,Mammal,Hunting,Spleen & liver,rt-PCR,msp2,A. phagocytophilum,23,6,0.26,No ,No,No,NA,No,NA,No,,No birds
0331,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,"Transudate, spleen, kidney, ear and blood",real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,32,0,0.00,NA,NA,No,NA,AF,"Silaghi et al., (2012)",No,"All animals tested in transudates, kidney and ears. Not all in spleen (unknown which). 13 also tested in blood (Additional information obtained from author)",No birds
0332,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Bank vole,Myodes glareolus,Mammal,Scientific capturing,"Transudate, spleen, kidney, ear and blood",real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,36,2,0.06,No,Yes,No,NA,AF,"Silaghi et al., (2012)",No,"1 positive in transudate, 1 positive in transudate and kidney  - All animals tested in transudates, kidney and ears. Not all in spleen (unknown which). 17 also tested in blood, but none positive (Additional information from author)",No birds
0333,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,"Transudate, spleen, kidney, ear and blood",real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,T+AF,"Silaghi et al., (2012)",No,"All animals tested in transudates, kidney and ears. Not all in spleen (unknown which). 1 also tested in blood (Additional information obtained from author)",No birds
0334,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Common shrew,Sorex araneus,Mammal,Scientific capturing,"Transudate, spleen, kidney and ear",real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T,"Silaghi et al., (2012)",No,"All animals tested in transudates, kidney and ears. Not all in spleen (unknown which). ",No birds
0335,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",European water vole,Arvicola terrestris,Mammal,Cat killed,"Transudate, spleen, kidney and ear",real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,T+AF,"Silaghi et al., (2012)",No,"All animals tested in transudates, kidney and ears. Not all in spleen (unknown which). ",No birds
0336,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Greater white-toothed shrew,Crocidura russula,Mammal,Cat killed,"Transudate, spleen, kidney and ear",real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,4,0,0.00,NA,NA,No,NA,T+AF,"Silaghi et al., (2012)",No,"All animals tested in transudates, kidney and ears. Not all in spleen (unknown which). ",No birds
0337,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",European mole,Talpa europaea,Mammal,Cat killed,"Transudate, spleen, kidney and ear",real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T+AF,"Silaghi et al., (2012)",No,"All animals tested in transudates, kidney and ears. Not all in spleen (unknown which). ",No birds
0338,"Silaghi et al., 2014","Angelberger Forest, Bavaria (48°06'36.42'' N, 10°34'33.40'' E)",Germany,No,"The vegetation is mixed forest with mainly beech-grove (Fagus sylvatica), in places fir (Abies), oak (Quercus), and spruce (Picea) on fine loam","From October, 2010, to February, 2013",Wild boar,Sus scrofa,Mammal,Hunting,"Blood, spleen and skin",rt-PCR,16S rRNA,A. phagocytophilum,24,3,0.13,No,Yes,No,NA,No,NA,No,"All tested in spleen, 12 in skin and 21 in blood. 1 positive in spleen, 1 in spleen and skin and 1 in spleen and blood.",No birds
0339,"Skarphedinsson et al., 2005",Denmark,Denmark,No,Forest,"May 15-July 15, 2002 & October 1, 2002 - January 15, 2003",European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,real-time PCR,16S rRNA,A. phagocytophilum,237,101,0.43,No,No,No,NA,No,NA,No,,No birds
0340,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,T,"Michalik et al., (2008)",No,,Resident birds
0341,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,European robin,Erithacus rubecula,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,T,"Michalik et al., (2008)",No,,Resident birds
0342,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,10,0,0.00,NA,NA,No,NA,T,"Michalik et al., (2008)",No,,Resident birds
0343,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Great tit,Parus major,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,11,0,0.00,NA,NA,No,NA,T,"Michalik et al., (2008)",No,,Resident birds
0344,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Eurasian nuthatch,Sitta europaea,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,T,"Michalik et al., (2008)",No,,Resident birds
0345,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Common starling,Sturnus vulgaris,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,20,0,0.00,NA,NA,No,NA,T,"Michalik et al., (2008)",No,,Resident birds
0346,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Common blackbird,Turdus merula,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,24,0,0.00,NA,NA,No,NA,T,"Michalik et al., (2008)",No,,Resident birds
0347,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Song thrush,Turdus philomelos,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,24,0,0.00,NA,NA,No,NA,T,"Michalik et al., (2008)",No,,Resident birds
0348,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Blue tit,Cyanistes caeruleus,Bird,Scientific capturing,Blood,PCR,epank 1,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T+AF,"Skotarczak et al., (2006)",No,,Resident birds
0349,"Skotarczak et al., 2008",Wkrzanska Forest surrounding Szczecin,Poland,No,Forest,NA,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood and spleen,PCR and nested PCR,msp2 and groESL,A. phagocytophilum,138,74,0.54,No,Yes,No,NA,No,NA,No,,No birds
0350,"Skotarczak et al., 2008",Wkrzanska Forest surrounding Szczecin,Poland,No,Forest,NA,Red deer,Cervus elaphus,Mammal,Hunting,Blood and spleen,PCR and nested PCR,msp2 and groESL,A. phagocytophilum,50,34,0.68,No,Yes,No,NA,No,NA,No,,No birds
0351,"Skotarczak et al., 2008",Wkrzanska Forest surrounding Szczecin,Poland,No,Forest,NA,Wild boar,Sus scrofa,Mammal,Hunting,Blood and spleen,PCR and nested PCR,msp2 and groESL,A. phagocytophilum,50,3,0.06,No,Yes,No,NA,No,NA,No,,No birds
0352,"Skuballa et al., 2010","Berlin, Hamburg, Area of Frankfurt (Hesse), Area of Karlsruhe (Baden-Wuerttemberg) and Munich (Bavaria)",Germany,No,NA,Summers between 2006 and 2008,Western European hedgehog,Erinaceus europaeus,Mammal,Dead animals at rescue centers,"Heart, lung, spleen, liver, kidney, and urinary bladder",Nested PCR,16S rRNA,A. phagocytophilum,31,8,0.26,No,Yes,No,NA,No,NA,No,,No birds
0353,"Smetanova et al., 2006",Middle Slovakia,Slovakia,No,Suburban forest and pasture habitats,2003 and 2004,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen,PCR,NA,A. phagocytophilum,38,2,0.05,No,No,No,NA,No,NA,No,Should this be included? It is very limited in information.,No birds
0354,"Smetanova et al., 2006",Middle Slovakia,Slovakia,No,Suburban forest and pasture habitats,2003 and 2004,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Spleen,PCR,NA,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0355,"Smetanova et al., 2006",Middle Slovakia,Slovakia,No,NA,Hunting season 2004/2005,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,PCR,NA,A. phagocytophilum,2,1,0.50,No,No,No,NA,No,NA,No,,No birds
0356,"Smetanova et al., 2006",Middle Slovakia,Slovakia,No,NA,Hunting season 2004/2005,Red deer,Cervus elaphus,Mammal,Hunting,Spleen,PCR,NA,A. phagocytophilum,3,1,0.33,No,No,No,NA,No,NA,No,,No birds
0357,"Smetanova et al., 2006",Middle Slovakia,Slovakia,No,Suburban forest and pasture habitats,2003 and 2004,Common vole,Microtus arvalis,Mammal,Scientific capturing,Spleen,PCR,NA,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0358,"Smetanova et al., 2006",Middle Slovakia,Slovakia,No,Suburban forest and pasture habitats,2003 and 2004,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Spleen,PCR,NA,A. phagocytophilum,23,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0359,"Smetanova et al., 2006",Middle Slovakia,Slovakia,No,NA,Hunting season 2004/2005,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,PCR,NA,A. phagocytophilum,18,1,0.06,No,No,No,NA,No,NA,No,,No birds
0360,"Smrdel et al., 2009",Slovenia,Slovenia,No,NA,2007,Wild boar,Sus scrofa,Mammal,Hunting,Blood,PCR & nested PCR,16S rDNA & groESL,A. phagocytophilum,113,4,0.04,No,Yes,No,NA,No,NA,No,,No birds
0361,"Smrdel et al., 2009",Slovenia,Slovenia,No,NA,2002,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,PCR & nested PCR,16S rDNA & groESL,A. phagocytophilum,135,6,0.04,No,Yes,No,NA,No,NA,No,,No birds
0362,"Stefancikova et al., 2008","Košice, Grajciar, Rozhanovce, and Šebastovce in Košice basin situated in the south-eastern part of the Western Carpathians, Lesnica in Rožňava basin in the Slovak Ore Mountains and the Pieniny National Park in the Eastern Carpathians",Slovakia,No,NA,NA,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Ear,nested PCR,16S rRNA,A. phagocytophilum,15,1,0.07,No,Yes,No,NA,No,NA,No,,No birds
0363,"Stefancikova et al., 2008","Košice, Grajciar, Rozhanovce, and Šebastovce in Košice basin situated in the south-eastern part of the Western Carpathians, Lesnica in Rožňava basin in the Slovak Ore Mountains and the Pieniny National Park in the Eastern Carpathians",Slovakia,No,NA,NA,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Ear,nested PCR,16S rRNA,A. phagocytophilum,76,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0364,"Stefancikova et al., 2008","Košice, Grajciar, Rozhanovce, and Šebastovce in Košice basin situated in the south-eastern part of the Western Carpathians, Lesnica in Rožňava basin in the Slovak Ore Mountains and the Pieniny National Park in the Eastern Carpathians",Slovakia,No,NA,NA,Herb field mouse,Apodemus uralensis,Mammal,Scientific capturing,Ear,nested PCR,16S rRNA,A. phagocytophilum,18,1,0.06,No,Yes,No,NA,No,NA,No,,No birds
0365,"Stefancikova et al., 2008","Košice, Grajciar, Rozhanovce, and Šebastovce in Košice basin situated in the south-eastern part of the Western Carpathians, Lesnica in Rožňava basin in the Slovak Ore Mountains and the Pieniny National Park in the Eastern Carpathians",Slovakia,No,NA,NA,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Ear,nested PCR,16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0366,"Stefanidesova et al., 2008","Ziar nad Hronom, Zarnovica and Banska Stiavnica",Slovakia,No,Woodland (Carpathian deciduous and mixed) or pasture/meadows,June 2005 - December 2006,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,nested PCR,"16S rRNA, msp4 and groESL",A. phagocytophilum,30,15,0.50,No,Yes,Yes,95% CI given per area,No,NA,No,,No birds
0367,"Stefanidesova et al., 2008","Ziar nad Hronom, Zarnovica and Banska Stiavnica",Slovakia,No,Woodland (Carpathian deciduous and mixed) or pasture/meadows,June 2005 - December 2006,Red deer,Cervus elaphus,Mammal,Hunting,Spleen,nested PCR,"16S rRNA, msp4 and groESL",A. phagocytophilum,49,26,0.53,No,Yes,Yes,95% CI given per area,No,NA,No,,No birds
0368,"Stefanidesova et al., 2008","Ziar nad Hronom, Zarnovica and Banska Stiavnica",Slovakia,No,Woodland (Carpathian deciduous and mixed) or pasture/meadows,June 2005 - December 2006,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,nested PCR,"16S rRNA, msp4 and groESL",A. phagocytophilum,28,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0369,"Stefanidesova et al., 2008",Zarnovica and Banska Stiavnica,Slovakia,No,Woodland (Carpathian deciduous and mixed) or pasture/meadows,June 2005 - December 2006,European mouflon,Ovis orientalis musimon,Mammal,Hunting,Spleen,nested PCR,"16S rRNA, msp4 and groESL",A. phagocytophilum,2,1,0.50,No,Yes,No,NA,No,NA,No,,No birds
0370,"Stefanidesova et al., 2011","Nitrianske Rudno – Pravenec (48◦51' N, 18◦39' E) lies in Strážovské vrchy Mts near the village of Nitrianske Rudno in administrative district Prievidza; Šikloš – Kalinčiakovo (48◦12' N, 18◦40' E) situated near the town of Levice, Ipeľská pahorkatina hilyland and in administrative district Levice; Želiezovce – Lontov (48◦02' N, 18◦39' E) lying near the town of Želiezovce, Ipeľská pahorkatina hilyland and in administrative district Levice",Slovakia,No,"Meadows, fields and smaller woodland areas and Woodland",May - September 2009,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,nested PCR,groESL,A. phagocytophilum,35,22,0.63,No,No,No,NA,No,NA,No,,No birds
0371,"Stefanidesova et al., 2011","Nitrianske Rudno – Pravenec (48◦51' N, 18◦39' E) lies in Strážovské vrchy Mts near the village of Nitrianske Rudno in administrative district Prievidza; Šikloš – Kalinčiakovo (48◦12' N, 18◦40' E) situated near the town of Levice, Ipeľská pahorkatina hilyland and in administrative district Levice",Slovakia,No,"Meadows, fields and smaller woodland areas",May - September 2009,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,nested PCR,groESL,A. phagocytophilum,3,2,0.67,No,No,No,NA,No,NA,No,,No birds
0372,"Stefanidesova et al., 2011","Nitrianske Rudno – Pravenec (48◦51' N, 18◦39' E) lies in Strážovské vrchy Mts near the village of Nitrianske Rudno in administrative district Prievidza",Slovakia,No,NA,May - September 2009,Red deer,Cervus elaphus,Mammal,Hunting,Spleen,nested PCR,groESL,A. phagocytophilum,4,2,0.50,No,No,No,NA,AF,"Stefanidesova et al., (2011)",No,,No birds
0373,"Stuen et al., 2013",Southern Norway,Norway,No,NA,September/October 2007,Red deer,Cervus elaphus,Mammal,Hunting,"Kidney, liver, lung and spleen",semi-nested PCR,16S rDNA,A. phagocytophilum,8,7,0.88,No,No,No,NA,No,NA,No,,No birds
0374,"Sukara et al., 2018","Titel, Surcin, Smederevo, Velika Gradiste, Smederevska Palanka, Velika Plana, Negotin, Svilajnac, Zajecar and Bela Palanka (fig 1)",Serbia,No,NA,Janaury 2010 - February 2013,Golden jackal,Canis aureus,Mammal,Hunted and road kill,Spleen,real-time PCR en cPCR,msp4,A. phagocytophilum,216,2,0.01,No,Yes,No,NA,T+AF,"Sukara et al., (2018)",No,,No birds
0375,"Svitalkova et al., 2015","Bratislava (48.17–48.20°N, 17.07–17.10°E) and Fúgelka (48.37–48.38°N, 17.30–17.32°E)",Slovakia,No,Campus of the Slovak Academy of Sciences (SAS) and a recreational forest park (Železná studnička) and non-fragmented deciduous forest,"Spring (April—June) and autumn (September – October) of 2012, 2013 and 2014",Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,356,0,0.00,NA,NA,No,NA,AF,"Svitalkova et al., (2015)",No,,No birds
0376,"Svitalkova et al., 2015","Bratislava (48.17–48.20°N, 17.07–17.10°E) and Fúgelka (48.37–48.38°N, 17.30–17.32°E)",Slovakia,No,Campus of the Slovak Academy of Sciences (SAS) and a recreational forest park (Železná studnička) and non-fragmented deciduous forest,"Spring (April—June) and autumn (September – October) of 2012, 2013 and 2014",Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,AF,"Svitalkova et al., (2015)",No,,No birds
0377,"Svitalkova et al., 2015","Bratislava (48.17–48.20°N, 17.07–17.10°E) and Fúgelka (48.37–48.38°N, 17.30–17.32°E)",Slovakia,No,Campus of the Slovak Academy of Sciences (SAS) and a recreational forest park (Železná studnička) and non-fragmented deciduous forest,"Spring (April—June) and autumn (September – October) of 2012, 2013 and 2014",Bank vole,Myodes glareolus,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,227,3,0.01,No,No,No,NA,AF,"Svitalkova et al., (2015)",No,"Two animals only positive in ear, one animal positive in ear and spleen. ",No birds
0378,"Svitalkova et al., 2015","Fúgelka (48.37–48.38°N, 17.30–17.32°E)",Slovakia,No,non-fragmented deciduous forest -> more detailed in paper,"Spring (April—June) and autumn (September – October) of 2012, 2013 and 2014",Harvest mouse,Micromys minutus,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,AF,"Svitalkova et al., (2015)",No,,No birds
0379,"Svitalkova et al., 2015","Fúgelka (48.37–48.38°N, 17.30–17.32°E)",Slovakia,No,non-fragmented deciduous forest -> more detailed in paper,"Spring (April—June) and autumn (September – October) of 2012, 2013 and 2014",Common vole,Microtus arvalis,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,19,0,0.00,NA,NA,No,NA,AF,"Svitalkova et al., (2015)",No,,No birds
0380,"Svitalkova et al., 2015","Fúgelka (48.37–48.38°N, 17.30–17.32°E)",Slovakia,No,non-fragmented deciduous forest -> more detailed in paper,"Spring (April—June) and autumn (September – October) of 2012, 2013 and 2014",European pine vole,Microtus subterraneus,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,AF,"Svitalkova et al., (2015)",No,,No birds
0381,"Szekeres et al., 2015","Gemenc area, near the Danube river",Hungary,No,Forest covered floodplain,July 2010 - May 2013,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Spleen and skin,real-time PCR en cPCR,msp4,A. phagocytophilum,294,10,0.03,No,Yes,No,NA,T+AF,"Szekeres et al., (2015)",No,"Animals were either tested in spleen (n= 92, 2pos) or skin (n=202, 8pos)",No birds
0382,"Szekeres et al., 2015","Gemenc area, near the Danube river",Hungary,No,Forest covered floodplain,July 2010 - May 2013,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen and skin,real-time PCR en cPCR,msp4,A. phagocytophilum,169,17,0.10,No,Yes,No,NA,T+AF,"Szekeres et al., (2015)",No,"Animals were either tested in spleen (n= 67, 3pos) or skin (n=102, 14pos)",No birds
0383,"Szekeres et al., 2015","Gemenc area, near the Danube river",Hungary,No,Forest covered floodplain,July 2010 - May 2013,Harvest mouse,Micromys minutus,Mammal,Scientific capturing,Skin,real-time PCR en cPCR,msp4,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,T+AF,"Szekeres et al., (2015)",No,,No birds
0384,"Szekeres et al., 2015","Gemenc area, near the Danube river",Hungary,No,Forest covered floodplain,July 2010 - May 2013,Common vole,Microtus arvalis,Mammal,Scientific capturing,Spleen and skin,real-time PCR en cPCR,msp4,A. phagocytophilum,11,1,0.09,No,Yes,No,NA,T+AF,"Szekeres et al., (2015)",No,"Animals were either tested in spleen (n= 4, 1pos) or skin (n=7, 0pos)",No birds
0385,"Szekeres et al., 2015","Gemenc area, near the Danube river",Hungary,No,Forest covered floodplain,July 2010 - May 2013,House mouse,Mus musculus,Mammal,Scientific capturing,Spleen and skin,real-time PCR en cPCR,msp4,A. phagocytophilum,8,1,0.13,No,Yes,No,NA,T+AF,"Szekeres et al., (2015)",No,"Animals were either tested in spleen (n= 3, 1pos) or skin (n=5, 0pos)",No birds
0386,"Szekeres et al., 2015","Gemenc area, near the Danube river",Hungary,No,Forest covered floodplain,July 2010 - May 2013,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Spleen and skin,real-time PCR en cPCR,msp4,A. phagocytophilum,40,3,0.08,No,Yes,No,NA,T+AF,"Szekeres et al., (2015)",No,"Animals were either tested in spleen (n= 11, 2pos) or skin (n=29, 1pos)",No birds
0387,"Szekeres et al., 2018","Szentendre, Pest County; Budapest (several districts); Hajdúböszörmény, Hajdú-Bihar County; Kalocsa, Bács-Kiskun County; Szigetszentmiklós, Pest County; Kunpeszér, Bács-Kiskun County; Balatonkenese, Veszprém County",Hungary,No,Urban,April and August of 2015,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,Road kill,"Blood, heart, Liver, Skin, Muscle & Spleen",qPCR and cPCR,msp2,A. phagocytophilum,23,17,0.74,1,Yes,No,NA,T+AF,"Szekeres et al., (2018) ",No,"Ecotype found in two female ticks, and in tissue from hedgehogs. All hedgehogs where the blood was tested, were positive in at least one tissue sample (also when negative in blood). More detailed specifics per positive animal can be found in supplementary file.",No birds
0388,"Szekeres et al., 2018","Budakeszi, Pest County",Hungary,No,Urban,April and August of 2015,Least weasel,Mustela nivalis,Mammal,Accidently killed,"Muscle, skin, spleen and blood",qPCR and cPCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T,"Szekeres et al., (2018) ",No,,No birds
