Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Pathogen,Tick.hosts,Hosts.studied,Genospecies.identification,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BH,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Total.ticks.tested,Total.ticks.positive,Total.ticks.infection.prevalence,Data.collection,Double.ext
288,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Lesser whitethroat,Sylvia curruca,Bird,,PCR,B. burgdorferi s.l.,,,Yes,3,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,4,0,0.00,H,Yes
289,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Eurasian wren,Troglodytes troglodytes,Bird,,PCR,B. burgdorferi s.l.,,,Yes,5,1,0.20,1,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,6,1,0.17,H,Yes
290,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Redwing thrush,Turdus iliacus,Bird,,PCR,B. burgdorferi s.l.,,,Yes,5,3,0.60,19,9,0.47,0,NA,NA,,,,,,No,,Migratory birds,,24,12,0.50,H,Yes
291,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Common blackbird,Turdus merula,Bird,,PCR,B. burgdorferi s.l.,,,Yes,26,3,0.12,101,4,0.04,0,NA,NA,,,,,,No,,Migratory birds,,127,7,0.06,H,Yes
292,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Song thrush,Turdus philomelos,Bird,,PCR,B. burgdorferi s.l.,,,Yes,12,0,0.00,19,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,31,0,0.00,H,Yes
293,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Fieldfare,Turdus pilaris,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,11,1,0.09,0,NA,NA,,,,,,No,,Migratory birds,,11,1,0.09,H,Yes
294,"Kjelland et al., 2011a",Southern Norway,Norway,No,,October of 2001–2003,Eurasian elk,Alces alces,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,70,0,0.00,433,19,0.04,182,11,0.06,,,,,,No,,No birds,,685,30,0.04,H,Yes
295,"Kjelland et al., 2011a",Southern Norway,Norway,No,,October of 2001–2003,European roe deer,Capreolus capreolus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,267,0,0.00,595,17,0.03,72,0,0.00,,,,,,No,,No birds,,934,17,0.02,H,Yes
296,"Kjelland et al., 2011b",Norway,Norway,No,,2007-2009,Mountain hare,Lepus timidus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,117,19,0.16,23,3,0.13,16,8,0.50,,,,,,No,,No birds,,156,30,0.19,H,Yes
297,"Klitgaard et al., 2019","Gedser Bird Observatory (54.56, 11.96), Råhede bird ringing site (8.65, 55.27) and Keldsnor (54.73, 10.71)",Denmark,No,NA,14-05-2016 until 10-06-2016; and 01-09-2016 until 07-11-2016,Aves spp.,Aves spp.,Bird,Scientific capturing,Real-time PCR,B. burgdorferi s.s.,86,807,No,95,1,0.01,84,3,0.04,0,NA,NA,NA,No,NA,No,NA,Yes,"Species: Eurasian reed warbler (Acrocephalus scirpaceus), icterine warbler (Hippolais icterina), willow warbler (Phylloscopus trochilus), dunnock (Prunella modularis), Eurasian blackcap (Sylvia atricapilla), common whitethroat (Sylvia communis), lesser whitethroat (Sylvia curruca), European robin (Erithacus rubecula), common blackbird (Turdus merula), common redstart (Phoenicurus phoenicurus)",Migratory birds,No,,,,L,No
298,"Klitgaard et al., 2019","Gedser Bird Observatory (54.56, 11.96), Råhede bird ringing site (8.65, 55.27) and Keldsnor (54.73, 10.71)",Denmark,No,NA,14-05-2016 until 10-06-2016; and 01-09-2016 until 07-11-2016,Aves spp.,Aves spp.,Bird,Scientific capturing,Real-time PCR,B. afzelii,86,807,No,95,0,0.00,84,1,0.01,0,NA,NA,NA,No,NA,No,NA,Yes,"Species: Eurasian reed warbler (Acrocephalus scirpaceus), icterine warbler (Hippolais icterina), willow warbler (Phylloscopus trochilus), dunnock (Prunella modularis), Eurasian blackcap (Sylvia atricapilla), common whitethroat (Sylvia communis), lesser whitethroat (Sylvia curruca), European robin (Erithacus rubecula), common blackbird (Turdus merula), common redstart (Phoenicurus phoenicurus)",Migratory birds,No,,,,L,No
299,"Klitgaard et al., 2019","Gedser Bird Observatory (54.56, 11.96), Råhede bird ringing site (8.65, 55.27) and Keldsnor (54.73, 10.71)",Denmark,No,NA,14-05-2016 until 10-06-2016; and 01-09-2016 until 07-11-2016,Aves spp.,Aves spp.,Bird,Scientific capturing,Real-time PCR,B. garinii,86,807,No,95,7,0.07,84,15,0.18,0,NA,NA,NA,No,NA,No,NA,Yes,"Species: Eurasian reed warbler (Acrocephalus scirpaceus), icterine warbler (Hippolais icterina), willow warbler (Phylloscopus trochilus), dunnock (Prunella modularis), Eurasian blackcap (Sylvia atricapilla), common whitethroat (Sylvia communis), lesser whitethroat (Sylvia curruca), European robin (Erithacus rubecula), common blackbird (Turdus merula), common redstart (Phoenicurus phoenicurus)",Migratory birds,No,,,,L,No
300,"Klitgaard et al., 2019","Gedser Bird Observatory (54.56, 11.96), Råhede bird ringing site (8.65, 55.27) and Keldsnor (54.73, 10.71)",Denmark,No,NA,14-05-2016 until 10-06-2016; and 01-09-2016 until 07-11-2016,Aves spp.,Aves spp.,Bird,Scientific capturing,Real-time PCR,B. spielmanii,86,807,No,95,11,0.12,84,16,0.19,0,NA,NA,NA,No,NA,No,NA,Yes,"Species: Eurasian reed warbler (Acrocephalus scirpaceus), icterine warbler (Hippolais icterina), willow warbler (Phylloscopus trochilus), dunnock (Prunella modularis), Eurasian blackcap (Sylvia atricapilla), common whitethroat (Sylvia communis), lesser whitethroat (Sylvia curruca), European robin (Erithacus rubecula), common blackbird (Turdus merula), common redstart (Phoenicurus phoenicurus)",Migratory birds,No,,,,L,No
301,"Klitgaard et al., 2019","Gedser Bird Observatory (54.56, 11.96), Råhede bird ringing site (8.65, 55.27) and Keldsnor (54.73, 10.71)",Denmark,No,NA,14-05-2016 until 10-06-2016; and 01-09-2016 until 07-11-2016,Aves spp.,Aves spp.,Bird,Scientific capturing,Real-time PCR,B. valaisiana,86,807,No,95,9,0.09,84,15,0.18,0,NA,NA,NA,No,NA,No,NA,Yes,"Species: Eurasian reed warbler (Acrocephalus scirpaceus), icterine warbler (Hippolais icterina), willow warbler (Phylloscopus trochilus), dunnock (Prunella modularis), Eurasian blackcap (Sylvia atricapilla), common whitethroat (Sylvia communis), lesser whitethroat (Sylvia curruca), European robin (Erithacus rubecula), common blackbird (Turdus merula), common redstart (Phoenicurus phoenicurus)",Migratory birds,No,,,,L,No
302,"Klitgaard et al., 2019","Gedser Bird Observatory (54.56, 11.96), Råhede bird ringing site (8.65, 55.27) and Keldsnor (54.73, 10.71)",Denmark,No,NA,14-05-2016 until 10-06-2016; and 01-09-2016 until 07-11-2016,Aves spp.,Aves spp.,Bird,Scientific capturing,Real-time PCR,B. lusitaniae,86,807,No,95,0,0.00,84,0,0.00,0,NA,NA,NA,No,NA,No,NA,Yes,"Species: Eurasian reed warbler (Acrocephalus scirpaceus), icterine warbler (Hippolais icterina), willow warbler (Phylloscopus trochilus), dunnock (Prunella modularis), Eurasian blackcap (Sylvia atricapilla), common whitethroat (Sylvia communis), lesser whitethroat (Sylvia curruca), European robin (Erithacus rubecula), common blackbird (Turdus merula), common redstart (Phoenicurus phoenicurus)",Migratory birds,No,,,,L,No
303,"Klitgaard et al., 2019","Gedser Bird Observatory (54.56, 11.96), Råhede bird ringing site (8.65, 55.27) and Keldsnor (54.73, 10.71)",Denmark,No,NA,14-05-2016 until 10-06-2016; and 01-09-2016 until 07-11-2016,Aves spp.,Aves spp.,Bird,Scientific capturing,Real-time PCR,B. bissettiae,86,807,No,95,0,0.00,84,0,0.00,0,NA,NA,NA,No,NA,No,NA,Yes,"Species: Eurasian reed warbler (Acrocephalus scirpaceus), icterine warbler (Hippolais icterina), willow warbler (Phylloscopus trochilus), dunnock (Prunella modularis), Eurasian blackcap (Sylvia atricapilla), common whitethroat (Sylvia communis), lesser whitethroat (Sylvia curruca), European robin (Erithacus rubecula), common blackbird (Turdus merula), common redstart (Phoenicurus phoenicurus)",Migratory birds,No,,,,L,No
304,"Krawczyk et al., 2015","Flevoland, Gelderland, Noord-Holland, Utrecht, and Zuid-Holland",The Netherlands ,No,NA,2010-2012,Western European hedgehog,Erinaceus europaeus,Mammal,Rehabilitating animals,Duplex real-time PCR,B. burgdorferi s.l.,10,NA,No,0,NA,NA,5,1,0.20,20,6,0.30,4,No,NA,No,NA,No,,No birds,Yes,,,,L,No
305,"Kurtenbach et al., 1998","Dorset, England",United Kingdom,No,,April and May 1996,Long-tailed field mouse & bank vole,Apodemus sylvaticus  & Myodes glareolus,Mammal,,PCR and reverse line blotting,B. burgdorferi s.l.,,,Yes,771,10,0.01,0,NA,NA,0,NA,NA,,,,,,Yes,No distinction made between species in prevalence,No birds,,771,10,0.01,H,Yes
306,"Kurtenbach et al., 1998","Dorset, England",United Kingdom,No,,April and May 1996,Common pheasant,Phasianus colchicus,Bird,,PCR and reverse line blotting,B. burgdorferi s.l.,,,Yes,0,NA,NA,122,69,0.57,0,NA,NA,,,,,,No,,Resident birds,,122,69,0.57,H,Yes
307,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Eurasian skylark,Alauda arvensis,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
308,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Tree pipit,Anthus trivialis,Bird,,Sequencing,Borrelia spp.,,,Yes,243,47,0.19,85,14,0.16,NA,NA,NA,,,,,,No,"This also includes one larva that was infected with B. miyamotoi, but unclear if this larva was co-infected",Migratory birds,,328,61,0.19,H,Yes
309,"Lommano et al., 2014",Switzerland (Local birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Eurasian treecreeper,Certhia familiaris,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,NA,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
310,"Lommano et al., 2014",Switzerland (Local birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Hawfinch,Coccothraustes coccothraustes,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,3,0,0.00,6,1,0.17,NA,NA,NA,,,,,,No,,Resident birds,,9,1,0.11,H,Yes
311,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Hawfinch,Coccothraustes coccothraustes,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,2,1,0.50,NA,NA,NA,,,,,,No,,Migratory birds,,2,1,0.50,H,Yes
312,"Lommano et al., 2014",Switzerland (Local birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,European robin,Erithacus rubecula,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,21,2,0.10,6,1,0.17,NA,NA,NA,,,,,,No,,Resident birds,,27,3,0.11,H,Yes
313,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,European robin,Erithacus rubecula,Bird,,Sequencing,Borrelia spp.,,,Yes,335,14,0.04,122,11,0.09,NA,NA,NA,,,,,,No,"This also includes two larvae infected with B. miyamotoi, but it is unclear if these larvae are co-infected",Migratory birds,,457,25,0.05,H,Yes
314,"Lommano et al., 2014",Switzerland (Local birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Common chaffinch,Fringilla coelebs,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,NA,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
315,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Common chaffinch,Fringilla coelebs,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,42,1,0.02,25,2,0.08,NA,NA,NA,,,,,,No,,Migratory birds,,67,3,0.04,H,Yes
316,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Brambling,Fringilla montifringilla,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,2,0,0.00,5,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,7,0,0.00,H,Yes
317,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Woodlark,Lullula arborea,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
318,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Spotted nutcracker,Nucifraga caryocatactes,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
319,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Northern wheatear,Oenanthe oenanthe,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
320,"Lommano et al., 2014",Switzerland (Local birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Great tit,Parus major,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,1,0,0.00,4,1,0.25,NA,NA,NA,,,,,,No,,Resident birds,,5,1,0.20,H,Yes
321,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Great tit,Parus major,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,NA,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
322,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Black redstart,Phoenicurus ochruros,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,1,1.00,NA,NA,NA,,,,,,No,,Migratory birds,,1,1,1.00,H,Yes
323,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Common redstart,Phoenicurus phoenicurus,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,3,0,0.00,1,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,4,0,0.00,H,Yes
324,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Willow warbler,Phylloscopus trochilus,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,2,0,0.00,5,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,7,0,0.00,H,Yes
325,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Dunnock,Prunella modularis,Bird,,Sequencing,Borrelia spp.,,,Yes,1,1,1.00,2,0,0.00,NA,NA,NA,,,,,,No,"The species of the positive larva is unknown, so it could potentially be B. miyamotoi",Migratory birds,,3,1,0.33,H,Yes
326,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,European serin,Serinus serinus,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,1,0,0.00,1,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
327,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Whitethroat,Sylvia communis,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,2,1,0.50,NA,NA,NA,,,,,,No,,Migratory birds,,2,1,0.50,H,Yes
328,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Eurasian wren,Troglodytes troglodytes,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,5,0,0.00,5,0,0.00,NA,NA,NA,,,,,,No,,Migratory birds,,10,0,0.00,H,Yes
329,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Redwing thrush,Turdus iliacus,Bird,,Sequencing,Borrelia spp.,,,Yes,9,6,0.67,16,10,0.63,NA,NA,NA,,,,,,No,"For one larvae the species of Borrelia spp. is unknown, so this could potentially be B. miyamotoi",Migratory birds,,25,16,0.64,H,Yes
330,"Lommano et al., 2014",Switzerland (Local birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Common blackbird,Turdus merula,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,32,16,0.50,NA,NA,NA,,,,,,No,,Resident birds,,32,16,0.50,H,Yes
331,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Common blackbird,Turdus merula,Bird,,Sequencing,Borrelia spp.,,,Yes,41,27,0.66,79,40,0.51,NA,NA,NA,,,,,,No,"Two nymphs are infected with B. miyamotoi , it is unkown if these nymphs are co-infected. Furthermore for 2 larvae and 1 nymph the Borrelia spp. could not be identified, so these could potentially be B. miymotoi. ",Migratory birds,,120,67,0.56,H,Yes
332,"Lommano et al., 2014",Switzerland (Local birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Song thrush,Turdus philomelos,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,3,3,1.00,3,1,0.33,NA,NA,NA,,,,,,No,,Resident birds,,6,4,0.67,H,Yes
333,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Song thrush,Turdus philomelos,Bird,,Sequencing,Borrelia spp.,,,Yes,35,10,0.29,44,21,0.48,NA,NA,NA,,,,,,No,"One nymph is infected with B. miyamotoi , it is unkown if this nymph is co-infected. Furthermore for 2 larvae and 2 nymphs the Borrelia spp. could not be identified, so these could potentially be B. miymotoi. ",Migratory birds,,79,31,0.39,H,Yes
334,"Lommano et al., 2014",Switzerland (Migratory birds),Switzerland,No,,Spring+summer 2008-2010 and August-October 2007-2009,Mistle thrush,Turdus viscivorus,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,2,2,1.00,2,1,0.50,NA,NA,NA,,,,,,No,,Migratory birds,,4,3,0.75,H,Yes
335,"Luu et al., 2021","Brownsea Island (50º69'N, 1º97'W) and Isle of Arran (59º59'N, 5º21'W), England and Scotland",United Kingdom,No,NA,Autumn 2016 and spring+autumn 2017-2018,Eurasian red squirrel,Sciurus vulgaris,Mammal,Scientific capturing,PCR,Borrelia spp.,117,188,Yes,0,NA,NA,143,26,0.18,0,NA,NA,NA,No,NA,No,NA,No,,No birds,No,,,,L,No
336,"Mannelli et al., 2005",Italy,Italy,No,,February - November 2001,European robin,Erithacus rubecula,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,3,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,3,0,0.00,H,Yes
337,"Mannelli et al., 2005",Italy,Italy,No,,February - November 2001,Common nightingale,Luscinia megarhynchos,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,16,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,16,0,0.00,H,Yes
338,"Mannelli et al., 2005",Italy,Italy,No,,February - November 2001,Great tit,Parus major,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,2,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
339,"Mannelli et al., 2005",Italy,Italy,No,,February - November 2001,Common starling,Sturnus vulgaris,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
340,"Mannelli et al., 2005",Italy,Italy,No,,February - November 2001,Eurasian blackcap,Sylvia atricapilla,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,4,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,4,0,0.00,H,Yes
341,"Mannelli et al., 2005",Italy,Italy,No,,February - November 2001,Eurasian wren,Troglodytes troglodytes,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
342,"Mannelli et al., 2005",Italy,Italy,No,,February - November 2001,Common blackbird,Turdus merula,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,36,21,0.58,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,36,21,0.58,H,Yes
343,"Martello et al., 2019","Tuscan-Emilian Apennine National Park (44°12′N, 10°22′E)",Italy,No,Forest,June-August 2011 and June-September 2012,Apodemus spp.,Apodemus spp.,Mammal,Scientific capturing,Real-time PCR,B. burgdorferi s.l.,46,83,Yes,61,13,0.21,1,0,0.00,0,NA,NA,NA,Yes,Infection prevalence larve 95% CI: 12-34%,T+BH,"Martello et al., 2019",Half,Species: Apodemus flavicollis and Apodemus sylvaticus,No birds,Yes,,,,L,No
344,"Martello et al., 2019","Tuscan-Emilian Apennine National Park (44°12′N, 10°22′E)",Italy,No,Forest,June-August 2011 and June-September 2012,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Real-time PCR,B. burgdorferi s.l.,4,22,No,6,1,0.17,1,0,0.00,0,NA,NA,NA,Yes,Infection prevalence larve 95% CI: 1-61%,T+BH,"Martello et al., 2019",No,,No birds,Yes,,,,L,No
345,"Matuschka et al., 1992",Berlin,Germany ,No,,April 1986 - October 1989,Sand lizard,Lacerta agilis,Reptile ,,Darkfield microscopy,B. burgdorferi s.l.,,,NA,293,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,Larvae were tested as derived nymphs,No birds,,293,0,0.00,H,Yes
346,"Matuschka et al., 1992",Berlin,Germany ,No,,April 1986 - October 1989,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,Darkfield microscopy,B. burgdorferi s.l.,,,No,298,75,0.25,0,NA,NA,0,NA,NA,,,,,,No,Larvae were tested as derived nymphs,No birds,,298,75.096,0.25,H,Yes
347,"Matuschka et al., 1992",Berlin,Germany ,No,,April 1986 - October 1989,Bank vole,Myodes glareolus,Mammal,,Darkfield microscopy,B. burgdorferi s.l.,,,No,83,32,0.39,0,NA,NA,0,NA,NA,,,,,,No,Larvae were tested as derived nymphs,No birds,,83,32.038,0.39,H,Yes
348,"Matuschka et al., 1992",Berlin,Germany ,No,,April 1986 - October 1989,Striped field mouse,Apodemus agrarius,Mammal,,Darkfield microscopy,B. burgdorferi s.l.,,,No,29,17,0.59,0,NA,NA,0,NA,NA,,,,,,No,Larvae were tested as derived nymphs,No birds,,29,16.878,0.58,H,Yes
349,"Matuschka et al., 1993",Brandenburg,Germany ,No,,October 1991 - March 1992,Fallow deer,Dama dama,Mammal,,Darkfield microscopy,B. burgdorferi s.l.,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,Larvae were tested as derived nymphs,No birds,,86,1,0.01,H,Yes
350,"Matuschka et al., 1993",Brandenburg,Germany ,No,,October 1991 - March 1992,European roe deer,Capreolus capreolus,Mammal,,Darkfield microscopy,B. burgdorferi s.l.,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,larvae and nymphs were tested as derived nymphs and adults,No birds,,11,1,0.09,H,Yes
351,"Matuschka et al., 1993",Brandenburg,Germany ,No,,October 1991 - March 1992,European mouflon,Ovis orientalis musimon,Mammal,,Darkfield microscopy,B. burgdorferi s.l.,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,larvae and nymphs were tested as derived nymphs and adults,No birds,,33,1,0.03,H,Yes
352,"Matuschka et al., 1993",Brandenburg,Germany ,No,,October 1991 - March 1992,Red deer,Cervus elaphus,Mammal,,Darkfield microscopy,B. burgdorferi s.l.,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,larvae and nymphs were tested as derived nymphs and adults,No birds,,67,1,0.01,H,Yes
353,"Matuschka et al., 1994",SW Germany,Germany ,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,PCR,B. burgdorferi s.l.,,,NA,17,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,17,0,0.00,H,Yes
354,"Matuschka et al., 1994",SW Germany,Germany ,No,,,Common vole,Microtus arvalis,Mammal,,PCR,B. burgdorferi s.l.,,,NA,4,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,4,0,0.00,H,Yes
355,"Matuschka et al., 1994",SW Germany,Germany ,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR,B. burgdorferi s.l.,,,No,59,16,0.27,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,59,16,0.27,H,Yes
356,"Matuschka et al., 1994",SW Germany,Germany ,No,,,Fat dormouse,Glis glis,Mammal,,PCR,B. burgdorferi s.l.,,,No,82,78,0.95,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,82,78,0.95,H,Yes
357,"Matuschka et al., 1994",SW Germany,Germany ,No,,,Bank vole,Myodes glareolus,Mammal,,PCR,B. burgdorferi s.l.,,,No,18,13,0.72,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,18,13,0.72,H,Yes
358,"Matuschka et al., 1996",Magdeburg,Germany ,No,,June-September 1994,Brown rat,Rattus norvegicus,Mammal,,PCR,B. burgdorferi s.l.,,,No,50,43,0.86,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,50,43,0.86,H,Yes
359,"Matuschka et al., 1996",Magdeburg,Germany ,No,,June-September 1994,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR,B. burgdorferi s.l.,,,No,72,34,0.47,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,72,34,0.47,H,Yes
360,"Mendoza-Roldan et al., 2019","Basilicata region (40°32'17""N, 16°07'20.17""E)",Italy,No,Forest,March-August 2018,Italian wall lizard,Podarcis siculus ,Reptile ,Scientific capturing,PCR,B. burgdorferi s.l.,102,135,"Yes, but not further specified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,95% CI: larvae > 1.64-11.2; nymphs > 14.9-34.5,T+BH,"Mendoza-Roldan et al., 2019b",No,"Total P. siculus, P. muralis and L. bilineata: 28 sequences were B. lusitaniae",No birds,No,,,,L,No
